127.0.0.1 - - [18/Jan/2017:17:12:20 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:12:21 +0800] "GET /myServlet/ HTTP/1.1" 404 971
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:12:50 +0800] "GET /myServlet/LoginServlet HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:25:51 +0800] "GET /myServlet/LoginServlet HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:25:57 +0800] "GET /myServlet/LoginServlet HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:26:02 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:44:18 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 500 2029
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:45:15 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 500 2029
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:45:56 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 500 2029
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:46:06 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:46:06 +0800] "GET /myServlet/LoginServlet HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:46:12 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:46:12 +0800] "GET /myServlet/MainFrame HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:47:25 +0800] "GET /myServlet/MainFrame HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:47:40 +0800] "GET /myServlet/LoginServlet HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:47:42 +0800] "POST /myServlet/LoginCLServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2017:17:47:42 +0800] "GET /myServlet/LoginServlet HTTP/1.1" 200 245
