127.0.0.1 - - [20/Mar/2018:22:44:10 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:39 +0800] "GET /mgt HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:49 +0800] "GET /91fd/mgt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:51 +0800] "GET /91fd/mgt/ HTTP/1.1" 200 13483
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:51 +0800] "GET /91fd/layer/layer.js HTTP/1.1" 200 19843
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:51 +0800] "GET /91fd/mm/assets/css/amazeui.min.css HTTP/1.1" 200 256317
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mm/assets/js/jquery.min.js HTTP/1.1" 200 84344
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mm/assets/js/amazeui.min.js HTTP/1.1" 200 204221
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mgt/images/logo_mgt.png HTTP/1.1" 200 12080
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mgt/images/iphone-banner.jpg HTTP/1.1" 200 56393
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mgt/images/iphone-banner2.jpg HTTP/1.1" 200 69605
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mgt/css/tr.css HTTP/1.1" 200 9284
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mgt/images/fd_newyear2017_bg01.png HTTP/1.1" 200 157359
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/layer/skin/layer.css HTTP/1.1" 200 14064
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mgt/images/fd_newyear2017_bg02.jpg HTTP/1.1" 200 119569
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:44:52 +0800] "GET /91fd/mm/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:07 +0800] "GET /91fd/orand HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:07 +0800] "GET /91fd/ HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:24 +0800] "GET /91fd/mt/ HTTP/1.1" 200 18373
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:24 +0800] "GET /91fd/mgt/images/logo_mt.png HTTP/1.1" 200 11970
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:24 +0800] "GET /91fd/mgt/images/login_07.png HTTP/1.1" 200 120012
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:24 +0800] "GET /91fd/mgt/images/login_09.png HTTP/1.1" 200 40042
0:0:0:0:0:0:0:1 - - [20/Mar/2018:22:45:39 +0800] "GET /91fd/orand HTTP/1.1" 404 -
