127.0.0.1 - - [06/Feb/2017:21:30:13 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:48 +0800] "GET /91fd/mgt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/mgt/ HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/mm/assets/css/amazeui.min.css HTTP/1.1" 200 256317
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/mgt/css/tr.css HTTP/1.1" 200 9284
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/mm/assets/js/amazeui.min.js HTTP/1.1" 200 204221
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/mm/assets/js/jquery.min.js HTTP/1.1" 200 84344
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/layer/layer.js HTTP/1.1" 200 19843
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:50 +0800] "GET /91fd/mgt/images/logo_mgt.png HTTP/1.1" 200 12080
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:51 +0800] "GET /91fd/mm/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:51 +0800] "GET /91fd/layer/skin/layer.css HTTP/1.1" 200 14064
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:51 +0800] "GET /91fd/mgt/images/fd_newyear2017_bg01.png HTTP/1.1" 200 157359
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:51 +0800] "GET /91fd/mgt/images/iphone-banner.jpg HTTP/1.1" 200 56393
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:51 +0800] "GET /91fd/mgt/images/iphone-banner2.jpg HTTP/1.1" 200 69605
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:51 +0800] "GET /91fd/mgt/images/fd_newyear2017_bg02.jpg HTTP/1.1" 200 119569
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:53 +0800] "GET /91fd/orand HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:30:53 +0800] "GET /91fd/mm/images/fd152.png HTTP/1.1" 200 11049
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:19 +0800] "POST /91fd/mgt/loginSave.xhtml HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:20 +0800] "GET /91fd/mgt/index.xhtml HTTP/1.1" 200 25744
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:20 +0800] "GET /91fd/mm/assets/css/admin.css HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:20 +0800] "GET /91fd/mm/images/fd69.png HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:20 +0800] "GET /91fd/fusionchart/FusionCharts.js HTTP/1.1" 200 14015
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:20 +0800] "GET /91fd/mm/assets/i/favicon.png HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:31:21 +0800] "POST /91fd/mgt/indexdata.xhtml HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:38:56 +0800] "GET /91fd/mgt/index.xhtml HTTP/1.1" 200 25744
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:38:56 +0800] "GET /91fd/mm/assets/i/favicon.png HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:38:57 +0800] "POST /91fd/mgt/indexdata.xhtml HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:39:03 +0800] "GET /91fd/mgt/index.xhtml HTTP/1.1" 200 25744
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:39:03 +0800] "GET /91fd/mm/assets/i/favicon.png HTTP/1.1" 200 1024
0:0:0:0:0:0:0:1 - - [06/Feb/2017:21:39:03 +0800] "POST /91fd/mgt/indexdata.xhtml HTTP/1.1" 200 545
